pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
1797.652823,865.534329,1832.471745,1063.113624,1841.440000,813.340000,1822.200000,1330.820000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1810.583411,868.513693,1836.617190,1063.665587,1848.550000,813.530000,1822.320000,1330.900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1826.052519,870.797871,1843.143220,1063.539895,1860.020000,814.030000,1823.510000,1330.940000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1838.685722,872.348853,1850.874055,1063.916971,1874.020000,814.570000,1825.570000,1330.940000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861.528922,871.790852,1863.323712,1065.173890,1896.702883,815.821986,1828.670000,1330.790000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1884.149262,872.767353,1876.676973,1065.928041,1919.514494,817.817974,1831.790000,1330.620000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1904.118026,873.918136,1891.837443,1067.184960,1942.939320,820.888725,1837.690000,1330.690000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1926.657200,874.832573,1906.226041,1069.279671,1966.577523,823.980781,1843.070000,1330.930000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1949.405070,878.620956,1920.460000,1071.030000,1990.980794,829.293927,1845.630000,1330.540000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972.365286,884.043068,1934.980000,1073.160000,2018.126018,835.816964,1847.219332,1326.938374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997.226151,889.455842,1949.820000,1075.260000,2046.476072,843.777694,1849.860000,1324.900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025.020908,895.641871,1966.840000,1078.360000,2077.740617,853.562758,1853.310000,1322.870000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2052.150000,902.430000,1984.990000,1082.060000,2110.627398,864.394115,1856.980000,1320.100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2089.573419,913.348143,2004.040000,1087.040000,2147.352355,879.774046,1861.230000,1316.580000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2125.577155,926.697660,2029.828578,1096.509384,2183.946619,897.117372,1868.127176,1310.973991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2162.942147,945.112308,2053.950000,1105.160000,2224.984471,920.187267,1875.520432,1304.977368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2204.195803,965.220256,2078.410000,1114.040000,2273.016013,949.791788,1883.226079,1296.373517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250.864132,994.152458,2108.437233,1125.656792,2317.790165,982.595535,1894.055636,1287.117860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
